Znanstvenofantastični prvijenac biološke antropologinje Mary Dorije Russell prvi put je objavljen prije gotovo trideset godina, 1996.	neutralno
"Prvi hrvatski prijevod uslijedio je pet godina kasnije, objavila ga je danas nepostojeća nakladnička kuća Izvori, a dvije godine poslije isti je nakladnik tiskao i nastavak, ""Božju djecu"", originalno na engleskom objavljen 1998. godine."	neutralno
Prošlo je, dakle, gotovo trideset godina, no oba romana i dalje pamtim.	neutralno
Ne sjećam se više jesam li ih čitala u engleskom originalu ili hrvatskom prijevodu, no Emilija Sandoza, tragičnoga glavnog junaka, pokazalo se, bilo je nemoguće zaboraviti.	neutralno
"Baš se ovih dana, upravo kad je objavljeno novo izdanje ""Vrapca"" (Znanje, prijevod Drago Štajduhar), autoironično prisjetila pokušaja da se ekranizira njezin najpopularniji roman: dva velika američka filmska studija razmatrala su ekranizaciju – Universal Pictures planirao je angažirati Antonia Banderasa za ulogu Emilija Sandoza, potom se zadatka prihvatio Warner Bros, koji je u glavnoj ulozi vidio Brada Pitta."	neutralno
Doria Russell napisala je tri scenarija, od svega na kraju nije bilo ništa.	negativno
"Kad pročitate roman, shvatit ćete zašto: ""Vrabac"" je, naime, u rangu ""Dine"", bez pretjerivanja – iako je prošlo samo dvadeset osam godina – može se smatrati klasikom znanstvenofantastične literature, jer Doria Russell u njemu postavlja duboko izazovna filozofska i religijska pitanja na koja ne daje lake odgovore."	neutralno
"Radnja ""Vrapca"" počinje u naše doba, 2019. godine."	neutralno
Teleskop u Arecibu u Portoriku, koji od 1960-ih godina u sklopu programa SETI pokušava naći dokaze o postojanju izvanzemaljskog života, upravo je uhvatio predivnu pjesmu s nepoznatog planeta.	neutralno
"Kako duhovito autorica zamjećuje u pogovoru romana, koji je napisala povodom dvadesete godišnjice objave ""Vrapca"", antropologinja Mary Doria Russell ne bi ni ulicu prešla kako bi se upoznala s nekim tko komunicira primarnim brojevima (njima izvanzemaljci komuniciraju u drugom velikom SF klasiku, romanu ""Kontakt"" Carla Sagana), ali zbog pjesme…"	neutralno
"Svakome svoje, piše Doria Russell, ""ali meni se činilo da će glazba odmah pobuditi one emocije koje će nas natjerati da prijeđemo ogromne udaljenosti."	negativno
"Postoje svirale stare četrdeset tri tisuće godina i, koliko god naša tehnologija napredovala, vjerujem da će nam glazba — fenomen koji je Ursula LeGuin tako lijepo odredila kao 'igru tonova, njihove visine i ritma' — uvijek biti privlačna.""."	pozitivno
Ekspediciju na Rakhat čine četiri jezuita i četvero civila.	neutralno
